Location,Location,District,District,獸醫診所名稱 (Chinese),Name of Vet Clinic (English),營業地址,Address,Call Phone Number,WhatsApp Number,24 hours,Website ,Opening Time,Google Review Link
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",雅各動物醫院,Acorn Veterinary Hospital,香港西營盤第二街68–80號裕新大廈第一座,"Yue Sun Mansion, Block 1, 68–80 Second Street, Sai Ying Pun, HK",2540 0228,85253744244,N,https://www.acornvets.com/,"Mon-Sat 9:00am-1:30pm, 2:30-7:00pm
Sun 10:00am-1:30pm, 2:00-5:00pm",
Kowloon,九龍,深水埗區,Sham Shui Po District,雅發動物診所,Alpha Vet Clinic,香港九龍深水埗欽州街65-71號榮業商業大廈4樓4室,"Room 4, 4/F, Wing Yip Commercial Building, 65–71 Yen Chow Street, Sham Shui Po, Kowloon",2708 8973,N/A,,N/A,No records online,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,恩典動物醫院,Amazing Grace Animal Hospital & Wellness Centre,九龍旺角勝利道28–32及36號新生大廈地下C舖,"Shop C, G/F, Sunshine Building, 28–32 & 36 Victory Avenue, Mong Kok, KLN.",2711 8482,85254190646,N,https://www.chillvet.com/,"Mon-Sat 9:30am-2:00pm, 3:00-7:30pm
Sun 9:30am-7:30pm",
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,天心寵物醫院,Angel Heart Veterinary Hospital,九龍尖沙咀山林道34號地下,"G/F, 34 Hillwood Road, Tsim Sha Tsui, KLN.",2813 7128,angelheart_vet@yahoo.com.hk,N,http://www.angelheart.com.hk/,10:00am-8:00pm,
Hong Kong Island,港島,灣仔區,Wan Chai District,動物王國醫院,Animal Kingdom Veterinary Hospital,香港銅鑼灣威非路道25–27號Belle House地下2–3號舖,"Shop 2–3 Belle House, 25–27 Whitfield Road, Causeway Bay, HK",2578 0321,info@akvh.com.hk,N,https://www.facebook.com/p/Animal-Kingdom-Veterinary-Hospital-%E5%8B%95%E7%89%A9%E7%8E%8B%E5%9C%8B%E9%86%AB%E9%99%A2-100063791831131/,"10:00am-1:30pm, 3:30-7:00pm
Thurs & Sun - Closed",
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,非牟利獸醫診所,Non-Profit Making Veterinary Clinic,九龍太子基隆街50A號,"50A Ki Lung Street, Prince Edward, KLN.",2393 2070,6097 0426,N,https://www.npv.org.hk/,9:00am-9:30pm,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,動物醫療學會醫院,Animal Medical Academy Hospital,九龍尖沙咀加連威老道100號港晶中心地下12–17號舖,"Shop 12–17, G/F, Harbour Crystal Centre, 100 Granville Road, Tsim Sha Tsui, KLN.",3899 8999,9165 0769,Y,https://amahvet.com.hk/,24 Hours Daily,
New Territories,新界,大埔區,Tai Po District,動物醫療中心-安健醫療中心,Animal Medical Centre–Tai Po,香港新界大埔仁興街54號地下,"G/F, 54 Yan Hing Street, Tai Po, N.T.",2656 1168,9165 9870,N,https://amcvet.com.hk/en,"Mon-Sat 9:00am-8:00pm
Sun 10:00am - 7:00pm",
Kowloon,九龍,深水埗區,Sham Shui Po District,毛國界動物醫院,Any.Mo Veterinary Hospital,香港九龍深水埗海壇街229號傲凱地舖,"G/F, O'KAI, 229 Hai Tan Street, Sham Shui Po, Kowloon",2142 3399,56103209,N,https://www.facebook.com/p/AnyMo-Veterinary-Hospital-%E6%AF%9B%E5%9C%8B%E7%95%8C%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-100050863102007/,10:00am-8:00pm,
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",鴨脷洲獸醫診所,Ap Lei Chau Veterinary Clinic,香港鴨脷洲利枝道138號地下1號舖,"Shop 1, 138 Lee Chi Road, Ap Lei Chau, HK",2548 7100,85251190120,N,https://www.alcvc.hk/,"10:00am-2:00pm, 3:00pm-7:00pm ",
